start,end,x,y,left,right,middle,x1,x2,ctrl,shift,alt,win,window,repeats
1746056977250,1746056977250,676,674,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977260,1746056977260,713,704,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977270,1746056977270,749,719,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977280,1746056977280,813,733,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977290,1746056977290,936,737,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977300,1746056977300,1010,730,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977310,1746056977310,1106,712,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977320,1746056977320,1257,673,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977330,1746056977330,1341,644,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977340,1746056977340,1404,621,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977350,1746056977350,1490,583,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977361,1746056977361,1512,569,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977370,1746056977370,1524,558,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977380,1746056977380,1526,552,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977390,1746056977390,1524,542,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977400,1746056977400,1514,533,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977410,1746056977410,1496,520,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977420,1746056977420,1407,477,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977430,1746056977430,1325,448,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977440,1746056977440,1269,436,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977450,1746056977450,1107,417,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977460,1746056977460,1040,417,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977470,1746056977470,972,420,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977480,1746056977480,859,450,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977490,1746056977490,825,466,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977500,1746056977500,801,479,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977510,1746056977510,766,511,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977520,1746056977520,759,526,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977530,1746056977530,758,539,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977540,1746056977540,767,572,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977550,1746056977550,783,594,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977560,1746056977560,804,613,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977570,1746056977570,865,650,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977580,1746056977580,904,663,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977590,1746056977590,942,674,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977600,1746056977600,1023,684,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977610,1746056977610,1072,686,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977620,1746056977620,1099,686,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
1746056977630,1746056977630,1159,681,0,0,0,0,0,0,0,0,0,"MouseMonitor – Main.kt [MouseMonitor.main]",1
